Account Name;Account link;Created;ELAPSED TIME IN MINUTES AFTER THE TIKTOK POST;ELAPSED TIME IN HOURS AFTER THE TIKTOK POST;VIRALITY PERCENTAGE;Average view in 24 hours;Percentage Average view in 24;Video Id;Caption;Duration;Video URL;Plays;Likes;Collect;Comments;Shares;Post Engagement Rate;Engagement w/r Followers;Hashtags;Duet;Tagged Users;Music Name;Music Artist;Original Sound;Timestamp;Created Simple Format
@brutofficiel;https://www.tiktok.com/@brutofficiel;2024-10-31T14:07;129;2,15;59.7%;1222764;872.2%;7431925689936284960;Trump en éboueur pour dénoncer des propos de Joe Biden. #donaldtrump #eboueur #usa???? #election #sinformersurtiktok;01:06 (66);https://www.tiktok.com/@brutofficiel/video/7431925689936284960;172624;5023;261;99;160;3.06%;0.07%;#donaldtrump  #eboueur  #usa????  #election  #sinformersurtiktok  ;False;;original sound - brutofficiel;Brut.;False;1730380048;2024-10-31 14:07
@brutofficiel;https://www.tiktok.com/@brutofficiel;2024-10-30T19:00;1275;21,27;51.1%;453127;195.8%;7431630141077409056;Comment est élu le président des États-Unis ? On t’explique le système des grands électeurs. #sinformersurtiktok #election #usa????;01:32 (92);https://www.tiktok.com/@brutofficiel/video/7431630141077409056;422747;20374;3324;312;1948;5.35%;0.29%;#sinformersurtiktok  #election  #usa????  ;False;;original sound - brutofficiel;Brut.;False;1730311237;2024-10-30 19:00
@brutofficiel;https://www.tiktok.com/@brutofficiel;2024-10-30T15:46;1470;24,51;59.3%;1812144;0%;7431579974794104096;Fin de la visite d’État au Maroc pour Emmanuel et Brigitte Macron. #rabat #emmanuelmacron #marocco #maroc #brigittemacron;00:47 (47);https://www.tiktok.com/@brutofficiel/video/7431579974794104096;1812144;51938;3772;3298;3345;3.23%;0.75%;#rabat  #emmanuelmacron  #marocco  #maroc  #brigittemacron  ;False;;Beat Automotivo Tan Tan Tan Viral;WZ Beat;False;1730299563;2024-10-30 15:46
@brutofficiel;https://www.tiktok.com/@brutofficiel;2024-10-30T15:00;1516;25,28;48.3%;223967;0%;7431555026453105953;"""Le sens de la politique, c'est pas qu'on est un gars qui a l'air sympa et qui est votre copain."" Que pense Elisabeth Borne de l'usage de TikTok par Jordan Bardella ? Dans un long entretien pour Brut, Élisabeth Borne se livre comme rarement et raconte la réalité de sa vie en tant que cheffe du Gouvernement. 20 mois Première ministre, ça ressemble à quoi au quotidien ? L'interview d'Aymeric, c'est à voir sur notre chaine YouTube.";02:05 (125);https://www.tiktok.com/@brutofficiel/video/7431555026453105953;223967;13684;915;1273;434;6.87%;0.2%;;False;;original sound - brutofficiel;Brut.;False;1730296800;2024-10-30 15:00
@brutofficiel;https://www.tiktok.com/@brutofficiel;2024-10-30T14:11;1565;26,09;66.1%;1316863;0%;7431555520625921312;Le gouvernement va bientôt interdire les “pouches”, des sachets de nicotine aromatisés. #pouchbag #pouches #nicotinepouche #nicotine #sante #college #lycee;01:17 (77);https://www.tiktok.com/@brutofficiel/video/7431555520625921312;1316863;47763;3333;440;35026;3.66%;0.62%;#pouchbag  #pouches  #nicotinepouche  #nicotine  #sante  #college  #lycee  ;False;;original sound - brutofficiel;Brut.;False;1730293868;2024-10-30 14:11
@brutofficiel;https://www.tiktok.com/@brutofficiel;2024-10-30T13:13;1623;27,05;33.2%;117058;0%;7431540553134738721;Pour vous, c’est quoi une sexualité épanouie ? On est allé à votre rencontre pour parler sexualité et Gilbert Bou Jaoudé, médecin sexologue, réagit à vos réponses et nous donne quelques conseils. En partenariat avec Dorcel;03:15 (195);https://www.tiktok.com/@brutofficiel/video/7431540553134738721;117058;3347;175;28;137;3%;0.04%;;False;;original sound - brutofficiel;Brut.;False;1730290408;2024-10-30 13:13
@brutofficiel;https://www.tiktok.com/@brutofficiel;2024-10-30T12:42;1653;27,56;43.4%;111222;0%;7431532732158659873;Au moins 51 personnes sont mortes dans les inondations en Espagne. Le bilan reste provisoire selon les services de secours. #espagne #inondation;01:05 (65);https://www.tiktok.com/@brutofficiel/video/7431532732158659873;111222;2378;142;69;318;2.49%;0.04%;#espagne  #inondation  ;False;;original sound - brutofficiel;Brut.;False;1730288563;2024-10-30 12:42
@brutofficiel;https://www.tiktok.com/@brutofficiel;2024-10-30T00:39;2377;39,62;62.2%;3287824;0%;7431346374953733408;Le départ du couple Macron après le dîner d’État avec le Roi du Maroc, Mohammed VI. #emmanuelmacron #rabat #maroc #marocco #brigittemacron #lalakhadija;00:35 (35);https://www.tiktok.com/@brutofficiel/video/7431346374953733408;3287824;109718;9133;3830;7119;3.67%;1.54%;#emmanuelmacron  #rabat  #maroc  #marocco  #brigittemacron  #lalakhadija  ;False;;original sound - brutofficiel;Brut.;False;1730245171;2024-10-30 00:39
@brutofficiel;https://www.tiktok.com/@brutofficiel;2024-10-30T00:09;2407;40,13;47.1%;431416;0%;7431338524034534689;Le couple Macron au Palais Royal pour le dîner d’État. #emmanuelmacron #rabat #maroc #marocco #brigittemacron;00:37 (37);https://www.tiktok.com/@brutofficiel/video/7431338524034534689;431416;17337;1311;1296;1370;4.64%;0.26%;#emmanuelmacron  #rabat  #maroc  #marocco  #brigittemacron  ;False;;original sound - brutofficiel;Brut.;False;1730243340;2024-10-30 00:09
@brutofficiel;https://www.tiktok.com/@brutofficiel;2024-10-29T23:04;2472;41,21;74.8%;5142231;0%;7431321832336198945;Les invités pour le dîner d’État au Palais royal du Maroc lors du voyage d’État français. Brut est présent au Maroc pour suivre cette visite. #rabat #emmanuelmacron #marocco #maroc #brigittemacron #mohammed6 #rachidadati;00:50 (50);https://www.tiktok.com/@brutofficiel/video/7431321832336198945;5142231;259211;24528;18101;37368;6.12%;4.02%;#rabat  #emmanuelmacron  #marocco  #maroc  #brigittemacron  #mohammed6  #rachidadati  ;False;;original sound - brutofficiel;Brut.;False;1730239454;2024-10-29 23:04
